"AIRPORT","DISPLAY_AIRPORT_NAME",
"01A","Afognak Lake Airport",
"03A","Bear Creek Mining Strip",
"04A","Lik Mining Camp",
"05A","Little Squaw Airport",
"06A","Kizhuyak Bay",
"07A","Klawock Seaplane Base",
"08A","Elizabeth Island Airport",
"09A","Augustin Island",
"1B1","Columbia County",
"1B1","Columbia County",
"1CA","Rio Vista Municipal",
"1FL","NASA Shuttle Landing Facility",
"1G4","Grand Canyon West",
"1G4","Grand Canyon West",
"1G4","Grand Canyon West",
"1G4","Grand Canyon West",
"1GA","Henry County",
"1N7","Blairstown Airport",
"1NC","Halifax Northampton Regional",
"1NY","Penn Yan Airport",
"1NY","Penn Yan Airport",
"1NY","Penn Yan Airport",
"1TN","Beech River Regional",
"1TX","Moore County",
"2CA","Delano Municipal",
"2GA","Camilla Mitchell County",
"2NY","Sands Point Seaplane Base",
"3GA","Early County",
"3NY","Sebonac",
"3TX","Lancaster Regional",
"6B0","Middlebury State",
"6B0","Middlebury State",
"6B0","Middlebury State",
"6B0","Middlebury State",
"7AK","Akun Airport",
"8F3","Crosbyton Municipal",
"A01","Blair Lake",
"A01","Blair Lake",
"A02","Deadmans Bay Airport",
"A03","Hallo Bay Airport",
"A04","Red Lake Airport",
"A05","Shell Lake Airport",
"A06","Navigator Airstrip",
"A07","Roland Norton Memorial",
"A07","Roland Norton Memorial Airstrip",
"A08","Pillar Bay Airport",
"A09","Johnstone Point Airport",
"A09","Johnstone Point Airport",
"A09","Johnstone Point Airport",
"A09","Johnstone Point Airport",
"A11","Bell Creek Airport",
"A12","Cinnabar Airport",
"A13","Mountaintop Mine Airport",
"A14","Whitebear Airport",
"A15","Puviaq Airport",
"A15","Puviaq Airport",
"A16","Arley Lake Airport",
"A17","Port Vita Airport",
"A18","Kantishna Airport",
"A18","Kantishna Airport",
"A18","Kantishna Airport",
"A18","Kantishna Airport",
"A1K","Point Thomson Airstrip",
"A1L","Cullman Regional Folsom Field",
"A20","Alpine Airstrip",
"A21","Serpentine Airport",
"A22","Driftwood Bay Airport",
