"CARRIER","CARRIER_NAME","START_DATE_SOURCE","THRU_DATE_SOURCE",
"02Q","Titan Airways",2006-05-01,,
"04Q","Tradewind Aviation",2006-08-01,,
"05Q","Comlux Aviation, AG",2006-10-01,2012-02-29,
"06Q","Master Top Linhas Aereas Ltd.",2007-01-01,,
"07Q","Flair Airlines Ltd.",2007-01-01,,
"09Q","Swift Air, LLC",2006-11-01,2008-12-31,
"09Q","Swift Air, LLC",2009-01-01,2015-12-31,
"09Q","Swift Air, LLC",2016-01-01,2017-12-31,
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2018-01-01,2018-12-31,
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2019-01-01,,
"0BQ","DCA",2007-04-01,,
"0CQ","ACM AIR CHARTER GmbH",2007-09-01,,
"0FQ","Maine Aviation Aircraft Charter, LLC",2017-04-01,,
"0GQ","Inter Island Airways, d/b/a Inter Island Air",2007-09-01,2016-12-31,
"0HQ","Polar Airlines de Mexico d/b/a Nova Air",2007-01-01,,
"0IQ","Lynx Aviation d/b/a Frontier Airlines",2007-12-01,2007-12-31,
"0J","JetClub AG",2007-02-01,,
"0JQ","Vision Airlines",2008-04-01,2009-06-30,
"0JQ","Vision Airlines",2009-07-01,2010-12-31,
"0JQ","Vision Airlines",2011-01-01,2014-12-31,
"0JQ","Vision Airlines",2015-01-01,2015-09-30,
"0KQ","Mokulele Flight Services, Inc.",2006-10-01,2012-12-31,
"0LQ","Metropix UK, LLP.",2007-01-01,,
"0MQ","Multi-Aero, Inc. d/b/a Air Choice One",2008-06-01,2020-03-31,
"0OQ","Open Skies",2008-06-01,2009-04-30,
"0Q","Flying Service N.V.",2007-01-01,,
"0QQ","TAG Aviation (UK) Ltd.",2006-10-01,,
"0RQ","TAG Aviation Espana S.L.",2006-01-01,,
"0TQ","Corporatejets, XXI",2008-10-01,2013-12-01,
"0UQ","Comlux Malta, Ltd.",2009-01-01,,
"0VQ","Ocean Sky (UK) Limited",2009-05-01,,
"0WQ","Avjet Corporation",2009-07-01,,
"0YQ","Comlux Malta Ltd.",2009-01-01,,
"0Z","Island Air Service",2005-04-01,2007-08-31,
"0ZQ","Air Excursions LLC",2009-10-01,2009-12-31,
"10Q","Swiss Air Ambulance",2010-04-01,,
"12Q","Unijet",2010-04-01,,
"13Q","Chartright Air Inc.",2010-01-01,,
"14Q","London Air Services Limited",2010-01-01,,
"15Q","Air Alsie A/S",2010-01-01,,
"16","PSA Airlines Inc.",2004-07-01,2005-12-31,
"16","PSA Airlines Inc.",2006-01-01,2015-06-30,
"17","Piedmont Airlines",2005-04-01,2015-03-31,
"17Q","Albinati Aeronautics SA",2010-08-01,,
"1AQ","Charter Air Transport, Inc.",2010-04-01,2015-03-31,
"1AQ","Via Airlines d/b/a Charter Air Transport",2015-04-01,,
"1BQ","Dynamic Airways, LLC",2010-10-01,2015-12-31,
"1BQ","Dynamic Airways, LLC",2016-01-01,2017-12-31,
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",2018-01-01,,
"1DQ","Island Airlines LLC",2010-11-01,2015-12-31,
"1EQ","KaiserAir, Inc.",2011-03-01,,
"1FQ","Alsek Air",2011-01-01,2012-09-30,
"1HQ","International Jet Management GmbH",2011-09-01,,
"1IQ","Jet link AG",2011-09-01,,
"1I","Sky Trek International Airlines",1997-06-01,2000-03-31,
"1JQ","Exec Direct Aviation Services Limited",2011-11-01,,
"1LQ","Bertelsmann Aviation GmbH",2012-04-01,,
"1MQ","Twin Cities Air Service LLC",2012-07-01,2012-09-30,
"1NQ","JSC The 224th Flight Unit State Airlines",2012-10-01,,
"1PQ","Makani Kai Air Charters",2011-10-01,2012-12-31,
"1PQ","Makani Kai Air Charters",2013-01-01,,
"1QQ","City Wings Inc dba Seaflight",2012-10-01,,
"1RQ","Sun Air Express LLC dba Sun Air International",2012-06-01,2012-12-31,
"1RQ","Sun Air Express LLC dba Sun Air International",2013-01-01,2020-03-31,
"1SQ","Star Marianas Air Inc.",2014-04-01,,
"1TQ","Rhoades Aviation dba Transair",2013-07-01,2019-12-31,
"1TQ","Rhoades Aviation dba Transair",2020-01-01,,
"1UQ","Gainjet Aviation SA",2013-09-01,,
"1VQ","Scott Air LLC dba Island Air Express",2013-10-01,2015-09-30,
"1WQ","Ultimate JetCharters LLC dba Ultimate Air Shuttle",2014-01-01,,
"1XQ","Dassault Falcon Service",2014-01-01,,
"1YQ","Air Charter, Inc d/b/a Air Flamenco",2012-01-01,,
"1ZQ","Comlux Aruba NV",2014-09-01,,
"20Q","Orange Air",2014-04-01,2017-03-31,
"21Q","Corporate Flight Management Inc.",2014-04-01,2015-12-31,
"21Q","Corporate Flight Management Inc.d/b/a Crystal Luxury Air",2016-01-01,2016-06-30,
"22Q","Gem Air LLC",2015-01-01,,
"23Q","Sky King Inc.",2015-01-01,2015-06-30,
"23Q","Songbird Airways Inc.",2015-07-01,2017-09-30,
"24Q","Blue Jet SP Z o o",2014-12-01,,
"25Q","Mjet GmbH",2015-04-01,,
"26Q","Albinati aviation Limited",2015-04-01,,
"27Q","Jet Aviation Flight Services, Inc.",2015-07-01,,
"28Q","Menagerie Enterprises Inc d/b/a Monarch Air",2015-07-01,2018-07-31,
"29Q","Erickson Helicopters",2015-03-01,,
"2AQ","ABS JETS A.S",2010-07-01,,
"2BQ","Air Medical Ltd.",2015-09-01,,
"2EQ","J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit",2015-10-01,2018-09-30,
"2EQ","J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit",2018-10-01,,
"2E","Smokey Bay Air Inc.",2003-04-01,,
"2F","Frontier Flying Service",2003-04-01,,
"2GQ","Cavok Air LLC",2015-10-01,,
"2HQ","Elite Airways LLC",2016-04-01,2017-12-31,
"2HQ","Elite Airways LLC",2018-01-01,2019-12-31,
"2HQ","Elite Airways LLC",2020-01-01,,
"2JQ","Delux Public Charter LLC",2016-04-01,,
"2K","Aerolineas Galapagos S A Aerogal",2007-12-01,2012-05-31,
"2KQ","Longtail Aviation Ltd.",2005-04-01,,
"2LQ","Tropic Ocean Airways LLC",2017-10-01,,
"2M","Midway Express Airlines",1984-10-01,1985-07-31,
"2NQ","LIMA NY Corp d/b/a Fly The Whale d/b/a Tailwind",2018-01-01,,
"2O","Island Air Service",2007-09-01,,
"2OQ","Talofa Airways Limited",2016-09-01,,
"2P","Air Philippines Corp d/b/a Airphil Express, Philippines Airlines",2016-06-01,,
"2PQ","21 Air LLC",2016-07-01,,
"2RQ","Luxaviation S A",2015-07-01,,
"2R","Regal Air",1990-11-01,1992-08-31,
"2T","Canada 3000 Airlines Ltd.",1997-01-01,2001-08-31,
"2TQ","Trans Northern Airways d/b/a Air Unlimited Charter Services",2016-07-01,,
"2UQ","Svenskt Industriflyg AB",2016-12-01,,
"2U","Valley Air Express Inc.",2003-11-01,2005-08-31,
"2Z","Air Comet S.A.",1997-03-01,2001-12-31,
"30Q","Public Charters, Inc. d/b/a North Country Sky d/b/a Regional Sky d/b/a Texas Sky",2017-04-01,,
"34Q","Polaris Aviation Solutions, LLC",2017-07-01,,
"35Q","Aztec Worldwide Airlines, Inc.  d/b/a  Aztec Airways",2017-10-01,,
"36Q","Air Hamburg Luftverkehrsgesellschaft mbH",2017-09-01,,
"37Q","Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC",2018-01-01,,
"37","Zeal 320",2006-10-01,,
"38Q","Key Lime Air Corporation",2017-01-01,,
"3AA","Airgate Aviation, Inc.",2019-07-01,,
"3AQ","Maritime Helicopters, Inc.",2018-01-01,,
"3BQ","Nealco Air Charter Services, Inc.  d/b/a  Watermakers Air",2018-07-01,,
"3C","Corporate Airlines",2002-10-01,2004-12-31,
